id,country,birthDate,deathDate,nameFirst,nameLast,weight,height,bats,throws
00bad9990e0e,USA,1977-10-03,,Eric,Munson,220,75,L,R
00bfcda00532,USA,1923-05-12,2009-01-25,Ed,Lyons,165,69,R,R
00c014b237eb,D.R.,1985-11-23,,Pedro,Figueroa,215,72,L,L
00c256a1625e,USA,1921-10-07,2017-01-18,Red,Adams,185,72,R,R
00c3f7595ba0,USA,1898-11-19,1954-12-11,Harry,Courtney,185,76,L,L
00cc77b2b990,P.R.,1974-02-24,,Mike,Lowell,195,76,R,R
00cd348b4a82,USA,1915-03-05,1994-10-07,Stan,Ferens,170,71,B,L
00cd4184aa9d,USA,1948-02-10,,Jim,Barr,205,75,R,R
00d0aea52f3f,USA,1891-05-19,1940-11-14,George,Clark,190,72,R,L
00d0d32a431c,USA,1884-05-21,1938-07-21,Karl,Spongberg,208,74,R,R
00d9c3f76e9c,USA,1950-02-02,,Dale,Murray,205,76,R,R
00de3986bd87,USA,1870-07-08,1942-12-21,Ira,Davis,162,,,R
00de8cd8e211,USA,1960-01-21,,Andy,Hawkins,200,76,R,R
00e01c0e1c1a,USA,1949-08-10,,Tom,Brown,170,73,R,R
00e2bbe9a3a3,USA,1889-07-01,1933-05-03,Lefty,James,175,71,L,L
00e322cc21c3,USA,1900-09-21,1986-12-07,John,Bogart,195,74,R,R
00e65fac2a0e,USA,1916-08-10,2003-02-04,Jim,Mertz,170,70,R,R
00e67c09e34d,USA,1974-01-01,,Kevin,Beirne,210,76,L,R
00e81422f7e3,USA,1959-07-21,,Mark,Williamson,155,72,R,R
00e987eee3ea,Germany,1899-04-05,1971-03-18,Tony,Welzer,160,71,R,R
00f058e04be5,USA,1959-10-08,,Mike,Morgan,195,75,R,R
00f23d4ae3fd,USA,1912-11-11,1979-06-18,Hal,Trosky,207,74,L,R
00f76548305d,USA,1946-07-22,,Bill,Zepp,185,74,R,R
01015466b5fe,USA,1894-01-27,1967-07-07,Joe,Weiss,165,72,R,R
010460976d62,CAN,1917-10-06,1999-02-01,Paul,Calvert,175,72,R,R
010550b99cb4,USA,1964-12-16,,Billy,Ripken,180,73,R,R
01089227fe1c,USA,1889-08-05,1966-06-04,Ralph,McConnaughey,166,68,R,R
010b493d7787,USA,1980-12-06,,Ehren,Wassermann,190,72,B,R
010b7cf5777c,USA,1974-06-26,,Jason,Kendall,181,72,R,R
0114231d13c2,USA,1912-09-20,1990-09-29,Al,McLean,175,72,R,R
011636d8d3a1,USA,1947-02-16,,Terry,Crowley,180,72,L,L
0116578813a6,USA,1939-06-04,,Phil,Linz,180,73,R,R
011730548b49,USA,1907-09-17,1980-01-29,Charlie,Bates,165,70,R,R
0117f6139064,USA,1950-01-18,,Bill,Sharp,178,70,L,L
011cfb26d966,USA,1969-09-23,,Jeff,Cirillo,190,74,R,R
011fa4d01558,USA,1908-09-28,1999-02-08,Carl,Sumner,170,68,L,L
0122da2bf4ab,USA,1964-10-05,2012-02-24,Terry,Mathews,200,74,L,R
0123b1403d4b,USA,1957-12-20,,Bill,Laskey,190,77,R,R
01264a069786,Panama,1981-07-22,,Angel,Chavez,185,72,R,R
01290ccb7f0e,USA,1956-01-25,,Dale,Mohorcic,220,75,R,R
01296fc3e014,USA,1984-05-09,,Chase,Headley,215,74,B,R
0129e58df1f9,Cuba,1992-02-25,,Jorge,Soler,230,76,R,R
012cd0fac57c,USA,1928-06-08,1997-09-27,Alex,Konikowski,187,73,R,R
0131d86e8290,USA,1963-11-02,,Pat,Rice,200,74,R,R
01358777c1c5,,,,Thomas,Maguire,,,,L
013597282360,USA,1964-12-29,,Craig,Grebeck,160,68,R,R
0136d704b437,USA,1899-12-25,1966-11-24,Tom,Gulley,178,71,L,R
0137e9853864,USA,1968-11-09,,Andy,Carter,200,77,L,L
013a2142a40a,USA,1867-10-02,1896-03-16,Kid,Madden,130,67,L,L
013ac07f0b36,USA,1968-07-27,,Tom,Goodwin,165,73,L,R
013f50c542a7,D.R.,1990-08-26,,Daniel,Corcino,210,71,R,R
0142249d56cb,USA,1943-10-19,,Brock,Davis,165,70,L,L
0144f84fe697,USA,1990-10-27,,Jason,Wheeler,255,78,L,L
0145a7d187ec,Venezuela,1986-01-24,,Franklin,Morales,210,73,L,L
014f2f69917d,USA,1908-07-23,1984-11-25,Ival,Goodman,170,71,L,R
014fab44864b,USA,1872-07-11,1952-08-25,Harry,Maupin,150,67,,R
0151c156ccb6,USA,1865-03-13,1936-06-09,Charlie,Bartson,170,72,,
0156433c0206,USA,1957-10-17,,Kelly,Paris,175,72,R,R
01599fca481f,USA,1863-04-14,1917-02-28,Parson,Nicholson,148,69,R,
0159d702465c,P.R.,1974-04-19,,Jose,Cruz,190,72,B,R
015df15a5a91,USA,1888-11-24,1980-04-17,Ed,Miller,180,72,R,R
015e5f9913e6,USA,1988-01-24,,Ashur,Tolliver,170,72,L,L
016047a28b0b,USA,1900-04-06,1970-12-05,Joe,Wyatt,175,73,R,R
016095201728,USA,1940-01-16,2013-11-08,Rod,Miller,160,70,L,R
0164ad5105f3,USA,1970-10-16,,Scott,Davison,190,72,R,R
016520e143f2,USA,1956-06-21,,Rick,Sutcliffe,215,79,L,R
016f24aafb62,USA,1908-12-25,2001-04-01,Jo-Jo,Moore,155,71,L,R
01732bacbe80,USA,1895-02-12,1939-09-27,Sweetbread,Bailey,184,72,R,R
0174224625f7,USA,1995-07-13,,Cody,Bellinger,210,76,L,L
0174577cd94f,P.R.,1950-04-28,,Jorge,Roque,158,70,R,R
01763388ac19,United Kingdom,1858-01-01,1921-06-27,Hugh,Nicol,145,64,R,R
017ee7672174,USA,1963-01-02,,David,Cone,180,73,L,R
01829cad5faf,USA,1953-07-13,,Joe,Cannon,193,75,L,R
01841c921d96,USA,1906-10-28,1944-01-30,Ed,Clough,188,72,L,L
0188849ee9bd,USA,1987-07-26,,Vidal,Nuno,210,71,L,L
01892c5e5824,USA,1878-02-22,1949-06-14,Charlie,Moran,180,68,R,R
0193f9a962ca,USA,1912-07-21,1977-07-27,Billy,Holm,168,70,R,R
0194fcecf7fc,USA,1958-12-03,,Mike,Martin,193,74,L,R
0197d95301f5,USA,1885-07-14,1956-08-12,Warren,Miller,160,70,L,L
0199abf65953,USA,1922-08-10,2010-07-08,Clint,Hartung,210,77,R,R
019ba61bf7be,USA,1918-05-18,1997-07-03,Rufe,Gentry,180,73,R,R
019bdf7aba5a,USA,1964-02-13,,Dann,Howitt,205,77,L,R
01a3e98809bf,USA,1913-11-15,1991-01-15,Lyle,Judy,150,70,R,R
01a5e99b69c5,USA,1957-06-08,,Don,Robinson,225,76,R,R
01aa47abe45f,USA,1993-07-09,,Jace,Fry,190,73,L,L
01b140516378,USA,1973-09-07,,Jarrod,Patterson,195,73,L,R
01b17e5f54a4,USA,1908-06-19,1969-02-23,Bill,Swift,192,73,R,R
01b1f05bdc23,USA,1969-06-26,,Rodney,Myers,200,73,R,R
01b230f4f593,USA,1966-11-25,,Mark,Whiten,210,75,B,R
01b4e9d7ce1d,USA,1969-05-09,,Desi,Wilson,230,79,L,L
01b7f36b5987,Cuba,1942-07-26,2014-10-01,Jose,Martinez,178,72,R,R
01bcb8dbe8b4,USA,1943-10-06,1975-12-23,Jim,McGlothlin,185,73,R,R
01bd31942eeb,USA,1984-02-20,,Brian,McCann,225,75,L,R
01c05f9e83cb,USA,1913-12-21,1998-05-01,Heinie,Heltzel,150,70,R,R
01cfdf129422,USA,1911-09-06,2004-11-29,Harry,Danning,190,73,R,R
01d645749893,USA,1944-09-27,,Gary,Sutherland,185,72,R,R
01e0e1b612dc,USA,1946-10-06,,Gene,Clines,170,69,R,R
01e79f8692b1,USA,1901-08-23,1985-07-02,Guy,Bush,175,72,R,R
01f0bc43fe7e,USA,1874-09-30,1910-02-08,Cy,Vorhees,200,75,,R
01f5cebfc405,USA,1893-04-24,1967-04-29,Walt,Smallwood,190,74,R,R
01f83d421101,USA,1904-01-20,1977-12-07,Denny,Sothern,175,71,R,R
01f9ab3e6a77,USA,1930-11-15,1968-10-05,Hal,Bevan,198,74,R,R
01fef696e526,USA,1904-12-13,1981-12-08,Bill,Windle,170,71,L,L
020190a8c489,USA,1931-09-03,2018-02-15,Tom,Brewer,175,73,R,R
020669946033,USA,1978-05-24,,Dave,Pember,225,77,R,R
020c24304927,USA,1871-03-01,1910-09-24,George,Boone,,,,
020dac883318,USA,1844-01-26,1908-09-28,Tom,Pratt,150,67,,R
020e5d9d505c,USA,1890-08-05,1944-07-16,Hal,Irelan,165,67,B,R
020e84534e5d,USA,1876-07-10,1900-08-24,John,Puhl,,,,
0217c6b07c04,USA,1875-04-13,1944-01-13,Kid,Elberfeld,158,67,R,R
021e1fe9083e,USA,1972-03-01,,Jimmy,Hurst,225,78,R,R
0221b65aa156,P.R.,1992-08-07,,Michael,Perez,180,71,L,R
02243b0b2eae,USA,1878-04-24,1948-08-29,Charlie,Graham,180,71,R,R
02245932abe5,United Kingdom,1853-12-03,1934-06-11,Tim,Manning,170,70,R,R
0225086886de,USA,1973-01-08,,Mike,Cameron,210,74,R,R
0228633dd766,USA,1947-08-15,,Billy,Conigliaro,180,72,R,R
02294d42bbaa,USA,1952-12-15,2014-03-08,Bud,Bulling,200,73,R,R
0239b803f450,Mexico,1973-04-12,,Antonio,Osuna,160,71,R,R
023d847dbe2d,USA,1901-10-30,1960-07-14,Al,Kellett,200,75,R,R
024126e5ddf0,USA,1899-09-20,1983-05-06,Nelson,Greene,185,72,L,L
0244b49397cb,Cuba,1989-11-12,,Adrian,Nieto,205,70,B,R
0244c6bec169,USA,1898-01-23,1959-06-10,Speed,Walker,170,72,R,R
024808c5487e,USA,1947-07-07,,Bob,Gallagher,185,75,L,L
0251b18fa447,USA,1867-01-14,1934-08-25,Bill,Kling,190,72,L,R
02521e1bd82e,USA,1907-05-28,1998-02-05,Marv,Olson,160,67,R,R
0257f6736ba2,USA,1887-08-14,1970-09-20,Fred,Lamlein,171,71,R,R
0257f78757b7,USA,1989-03-10,,Tyler,Holt,190,70,R,R
025a5f1f4202,USA,1906-07-07,1989-02-08,Dick,Bass,175,74,R,R
025ca166dd6a,USA,1903-08-08,1989-01-12,Clise,Dudley,195,73,L,R
025d6284d041,USA,1892-12-14,1979-04-06,Rudy,Kallio,160,70,R,R
025dcd84f00d,USA,1957-10-26,,Harry,Chappas,150,67,B,R
02621719aeed,USA,1957-01-16,,Marty,Castillo,190,73,R,R
026469cdd662,USA,1882-02-01,1966-04-12,Joe,Harris,198,73,R,R
026939ff051f,USA,1911-11-13,1987-04-24,John,Mihalic,172,71,R,R
026b075e7271,USA,1978-03-29,,Eric,Bruntlett,200,72,R,R
026c01fdc19c,USA,1868-02-13,1923-10-21,Biff,Sheehan,165,69,L,R
02772effc312,United Kingdom,1945-12-20,,Keith,Lampard,197,74,L,R
027c09778642,USA,1991-11-18,,Jameson,Taillon,230,77,R,R
027e760c4fea,USA,1928-09-10,1999-06-07,Bob,Garber,190,73,R,R
028356ce6bc0,USA,1957-08-01,2018-08-04,Myron,White,180,71,L,L
028435adc532,USA,1889-01-17,1967-06-15,Ollie,Welf,160,69,R,L
0288161c22de,USA,1980-08-08,,Jack,Cassel,190,74,R,R
028986f4c4bd,D.R.,1992-08-04,,Domingo,German,175,74,R,R
029531dfa2c9,USA,1962-01-04,,Jay,Tibbs,185,75,R,R
029792bbfc6d,USA,1879-12-31,1957-10-30,Fred,Beebe,190,73,R,R
0299cf9b4597,USA,1927-08-07,2015-01-28,Rocky,Bridges,170,68,R,R
029aee1e70db,D.R.,1997-05-19,,Victor,Robles,190,72,R,R
029cfb3a565e,USA,1994-07-06,,Andrew,Benintendi,170,70,L,L
029f40c03d7f,USA,1971-02-03,,Eric,Owens,185,73,R,R
02a4af848770,USA,1958-06-24,,Tom,Klawitter,190,74,R,L
02a4c1daf7f5,D.R.,1980-07-27,,Felix,Diaz,180,73,R,R
02a6ed236200,USA,1950-08-13,,Rusty,Gerhardt,175,69,B,L
02a71e682d60,USA,1902-06-09,1961-05-11,Lee,Dunham,185,71,L,L
02a81923d482,USA,1893-07-08,1965-05-13,Bill,Brown,185,68,L,L
02a975f7e41c,USA,1941-09-20,,Dennis,Ribant,165,71,R,R
02ac509df819,USA,1918-03-11,1968-11-27,Ed,Fernandes,185,69,B,R
02ad053eb5be,USA,1978-07-17,,Jason,Jennings,235,74,L,R
02ae04696dbb,USA,1885-02-12,1971-09-30,Bill,Mack,155,73,L,L
02b3b54ed5b8,USA,1878-11-26,1956-12-12,Bill,Malarkey,185,70,R,R
02b42ab3d8ca,USA,1855-01-23,1884-03-16,Art,Croft,,,,
02b53b7652a5,USA,1985-04-05,,Lastings,Milledge,210,71,R,R
02b7b697aa36,USA,1959-07-03,,Kurt,Kepshire,180,73,L,R
02baf31bebe3,USA,1967-05-16,,Doug,Brocail,220,77,L,R
02bea7fe24b3,USA,1889-09-18,1968-08-22,Heinie,Groh,158,68,R,R
02bfe8fc050e,USA,1890-02-05,1975-07-31,Max,Flack,148,67,L,L
02c3f67b7531,USA,1988-03-08,,Tommy,Pham,210,73,R,R
02c628f56a96,USA,1986-03-22,,Dexter,Fowler,195,77,B,R
02c70c143810,USA,1904-04-01,1962-10-05,Jack,Cummings,195,72,R,R
02d2b93b20fb,USA,1975-04-21,,Carlos,Castillo,240,74,R,R
02d507d38a5f,USA,1890-02-04,1962-10-15,Possum,Whitted,168,68,R,R
02d8209e4d48,USA,1867-08-12,1936-04-14,Dan,Lally,210,71,L,R
02db140fd49c,USA,1978-11-17,,Val,Pascucci,265,78,R,R
02ea9308cbd4,USA,1887-11-01,1979-05-15,Jerry,Akers,175,71,R,R
02eb4c12de4c,Cuba,1982-01-07,,Brayan,Pena,240,69,B,R
02f3421da9e2,Saudi Arabia,1982-03-08,,Craig,Stansberry,185,72,R,R
02f4d64ca941,USA,1943-03-23,,Bruce,Howard,180,74,B,R
02f6958ccceb,USA,1883-08-21,1954-02-22,Chief,Wilson,185,74,L,R
02f82f0af653,USA,1868-10-18,1959-07-29,Boileryard,Clarke,170,71,R,R
02faa9279aa6,USA,1960-01-28,,Stu,Pederson,185,72,L,L
03017a97a57f,USA,1920-10-02,2002-07-19,Spec,Shea,195,72,R,R
030201452487,USA,1888-10-16,1928-03-23,Jake,Kafora,180,72,R,R
0302b616f3e7,USA,1939-04-18,1995-08-20,Von,McDaniel,180,74,R,R
03036408ab68,USA,1910-06-23,1974-06-30,Bill,Perrin,172,71,R,L
0304e21c58bb,USA,1947-08-06,2014-10-20,Jim,Dunegan,205,73,R,R
0305cbb3e4e8,USA,1956-08-21,,John Henry,Johnson,190,74,L,L
03095537a883,USA,1881-08-28,1959-02-12,Dode,Paskert,165,71,R,R
030ec119fef5,USA,1896-11-02,1957-01-31,Chick,Maynard,150,69,L,R
0310e581bdd4,USA,1958-01-12,2013-08-17,Rod,Craig,195,73,B,R
0312a1db0f45,D.R.,1978-07-15,,Miguel,Olivo,230,72,R,R
03164db22fec,USA,1994-03-31,,Ryan,Borucki,175,76,L,L
03167ec2bfda,USA,1897-10-30,1968-07-12,Kettle,Wirts,170,71,R,R
031738d0bb75,Panama,1974-09-21,,Manuel,Barrios,170,72,R,R
031d87004d5b,USA,1977-06-16,,Kerry,Wood,210,77,R,R
031f615d1ae8,USA,1875-04-28,1951-10-30,Walt,Woods,165,69,R,R
03247278f345,USA,1895-04-12,1986-08-17,Sammy,Vick,163,70,R,R
0327bbb7b236,Mexico,1992-04-25,,Luis,Cessa,210,72,R,R
032ea5b19519,USA,1981-01-13,,Darrell,Rasner,210,75,R,R
0330678290fb,D.R.,1976-01-07,,Alfonso,Soriano,195,73,R,R
03314a52dad2,USA,1889-12-18,1968-03-29,Buddy,Napier,165,71,R,R
03375b38166c,USA,1965-10-08,,Jimmy,Kremers,205,75,L,R
0338a70123bd,CAN,1970-12-05,,Andy,Stewart,205,71,R,R
033e2334f73e,USA,1986-01-24,,Andy,Dirks,195,72,L,L
03400b4391f4,USA,1861-01-05,1927-11-22,John,McGlone,165,70,R,R
0340ee3449e0,USA,,1921-01-01,George,Winkleman,,,,
03425c27be29,USA,1985-09-10,,Anthony,Swarzak,215,76,R,R
0343d051f657,USA,1918-09-12,2003-03-07,Al,Libke,215,76,L,R
0350b9265329,USA,1861-10-14,1945-02-21,Paul,Radford,148,66,R,R
0356ce1779bd,Cuba,1939-05-11,,Hector,Martinez,160,70,R,R
035c298667e9,USA,1890-07-08,1941-03-01,Ivey,Wingo,160,70,L,R
035d39e67273,USA,1903-06-13,1950-12-20,Carroll,Yerkes,180,71,R,L
0360acd17b1e,USA,1903-01-24,1949-04-28,Clay,Touchstone,175,69,R,R
0369b060afcf,USA,1953-10-02,,Kevin,Kobel,180,72,R,L
03739666e4a9,USA,1970-08-07,,Greg,Pirkl,225,77,R,R
037941afb22e,D.R.,1982-10-14,,Carlos,Marmol,235,73,R,R
0379c12827cf,USA,1868-01-12,1951-03-25,Dan,Daub,160,70,R,R
0379cc648ef5,USA,1892-02-15,1960-11-24,Al,Braithwood,145,73,R,L
037dc3651b61,USA,1874-10-25,1957-01-17,Tom,Stanton,175,70,B,R
037e030f11d8,USA,1939-10-04,2006-09-01,Ted,Davidson,192,72,R,L
037e34d5d67b,USA,1891-07-09,1923-08-16,Jim,Scoggins,165,71,L,L
03816e536920,USA,1914-02-23,2000-01-19,Lynn,Myers,145,66,R,R
039c3a1e2fd0,USA,1894-03-19,1964-09-22,Red,Torkelson,175,72,R,R
03a26018e8af,USA,1890-10-16,1957-06-18,Milo,Allison,163,72,L,R
03a435f38003,USA,1893-05-21,1942-01-04,Herold,Juul,150,69,R,R
03a6b2e1958f,USA,1885-05-01,1940-03-30,George,McQuillan,175,71,R,R
03a73fb6ee71,USA,1993-08-04,,Kevin,Newman,180,72,R,R
03ac21025b11,D.R.,1982-01-09,,Tony,Pena,240,74,R,R
03ad4a4ccd6d,USA,1914-07-26,1968-10-16,Ellis,Kinder,195,72,R,R
03b1160034a1,USA,1868-03-23,1945-11-03,Mike,Smith,178,71,L,L
03b1ceae5d28,USA,1860-12-18,1911-12-06,John,Hamill,158,68,R,R
03b1e0b3accb,USA,1886-08-29,1955-10-26,Jack,Bushelman,175,74,R,R
03b35ce25f85,USA,1944-08-30,2004-01-05,Tug,McGraw,170,72,R,L
03b72541333d,USA,1890-03-10,1967-06-10,Pete,Fahrer,190,72,L,R
03b759e9da37,USA,1971-10-27,,Scott,Forster,194,73,R,L
03b887f4dceb,D.R.,1974-05-18,,Felix,Martinez,170,72,B,R
03bbf6f2443b,USA,1982-06-07,,Virgil,Vasquez,205,75,R,R
03c6ea0d099e,USA,1909-10-20,1995-06-17,Bruce,Campbell,185,73,L,R
03c789ed79e5,USA,1893-01-25,1979-10-11,Abe,Bowman,190,73,R,R
03ca1d5f9518,Cuba,1916-08-26,2002-01-04,Adrian,Zabala,165,71,L,L
03d156e831bf,USA,1957-07-13,,Chris,Jones,183,72,L,L
03d568fab9a0,USA,1989-09-27,,Mike,Miller,170,69,R,R
03d58bae6143,USA,1991-04-16,,Nolan,Arenado,205,74,R,R
03d87c2009e9,USA,1981-04-27,,Joey,Gathright,175,70,L,R
03da592a26be,USA,1919-11-26,2007-02-18,Danny,Reynolds,158,71,R,R
03df0c499e2f,USA,1942-08-29,,Dan,Schneider,170,75,L,L
03e1aa1dddbe,USA,1966-10-03,,Scott,Taylor,200,75,R,R
03e3251ddcbe,USA,1901-09-02,1951-11-19,Marty,Griffin,200,74,R,R
03e79c17e463,USA,1891-01-20,1943-03-13,Earl,Smith,170,71,B,R
03e7c6f6e64e,D.R.,1986-12-08,,Jordan,Norberto,195,72,L,L
03ebfe7592c0,USA,1867-03-17,1918-09-13,Ernie,Beam,185,72,,R
03edc54b8f08,USA,1959-11-05,,Lloyd,Moseby,200,75,L,R
03ef9ad1b460,USA,1874-08-02,1938-01-28,Bill,Hill,201,73,L,L
03efaa275d9a,CAN,1993-03-18,,Jesen,Therrien,200,74,R,R
03f09fd7f2f9,USA,1891-10-30,1979-09-16,Charlie,Deal,160,72,R,R
03fc9868fe40,USA,1883-07-08,1945-09-18,Ducky,Holmes,160,70,R,R
0402778be09c,USA,1869-11-09,1949-04-21,Harry,Morelock,,,,
0406060795e4,USA,1909-04-12,1949-03-11,Eric,McNair,160,68,R,R
0408b9a2eb23,D.R.,1971-04-14,,Carlos,Perez,195,75,L,L
040902820f51,Cuba,1926-12-07,1997-06-26,Armando,Roche,190,72,R,R
040c97f01d10,USA,1904-12-25,1962-04-13,Bill,Akers,178,71,R,R
040ca6a007ba,USA,,1921-11-04,Levi,Meyerle,177,73,R,R
0412f3cc07e2,USA,1916-11-15,1979-02-01,Milt,Byrnes,170,70,L,L
04159f3314f1,USA,1890-03-04,1984-03-14,Johnny,Enzmann,165,70,R,R
041dab080f16,USA,1982-08-31,,Josh,Kroeger,230,75,L,L
041e4076445a,USA,1989-01-01,,Jarrett,Parker,227,76,L,L
0428ca1df060,USA,1925-09-26,,Bobby,Shantz,139,66,R,L
042bec9fbd22,USA,1946-08-11,,Mike,Hedlund,182,73,R,R
0430cd44b309,USA,1931-10-25,,Dick,Murphy,170,71,L,L
043346e1f4e4,USA,1952-09-20,,Jim,Wilhelm,190,75,R,R
0439a0b481cd,D.R.,1962-11-12,,Wilfredo,Tejada,175,72,R,R
043d97eae1da,USA,1941-07-13,2015-01-22,Don,Bryant,200,77,R,R
043dc78229ee,USA,1944-04-03,2007-05-13,Gomer,Hodge,185,74,B,R
0441927e27f1,Colombia,1951-12-18,,Orlando,Ramirez,175,70,R,R
04441f8624c6,USA,1987-09-03,,Domonic,Brown,225,77,L,L
0446233b040c,USA,1993-08-23,,Braxton,Lee,185,70,L,R
044c9a630485,D.R.,1979-03-22,,Juan,Uribe,245,72,R,R
0453fa3b6501,Aruba,1974-09-05,,Calvin,Maduro,175,72,R,R
045819986edf,USA,1944-09-16,,Chuck,Brinkman,185,73,R,R
045b5e5660e6,,,,Joseph,Quinn,,,,
045d9e487693,USA,1993-02-07,,Zach,Davies,155,72,R,R
045f83ff82b0,P.R.,1991-08-09,,Steven,Moya,260,79,L,R
0468bc888ea7,USA,1994-04-27,,Corey,Seager,220,76,L,R
046e28a53df0,D.R.,1971-03-03,1997-12-22,Jose,Oliva,215,75,R,R
046f688959e5,USA,1963-02-23,,Bobby,Bonilla,210,75,B,R
047157b10837,USA,1961-11-19,,Jeff,Hearron,195,73,R,R
047162d8db7e,USA,1989-03-27,,Matt,Harvey,215,76,R,R
04772c5f3d9c,USA,1884-12-29,1964-12-22,Lou,Fiene,175,72,R,R
047ffb1eda54,USA,1993-06-09,,Jonathan,Holder,235,74,R,R
04828718c049,USA,1893-06-01,1983-01-09,Eddie,Palmer,175,69,R,R
04861cd1b456,USA,1928-09-16,,Vito,Valentinetti,195,72,R,R
048a4c32edaf,USA,1987-04-17,,Dan,Jennings,210,75,L,L
048e26150a1f,USA,1990-04-18,,Anthony,DeSclafani,195,73,R,R
04920a7f3fcd,USA,1915-02-18,1990-12-07,Lew,Flick,155,69,L,L
04940817270f,USA,1905-06-17,1961-09-11,Chink,Outen,200,72,L,R
